time,price
1471244126,11.22
1471247727,11.24
1471251327,11.24
1471254928,11.26
1471258529,11.26
1471262129,11.27
1471265730,11.28
1471269331,11.22
1471272932,11.14
1471276533,11.15
1471280133,11.15
1471283734,11.15
1471287335,11.11
1471290936,11.06
1471294537,11.02
1471298138,11.02
1471301739,10.98
1471305340,11.02
1471308941,11.09
1471312542,11.13
1471316143,11.14
1471319744,11.17
1471323344,11.22
1471326945,11.17
1471330546,11.14
1471334150,11.13
1471337750,11.15
1471341351,11.10
1471344952,11.13
1471348552,11.14
1471352154,11.13
1471355755,11.15
1471359357,11.09
1471362958,11.05
1471366558,11.03
1471370159,11.00
1471373760,11.02
1471377361,11.12
1471380962,11.13
1471384562,11.15
1471388163,11.18
1471391764,11.16
1471395366,11.15
1471398966,11.15
1471402568,11.15
1471406168,11.14
1471409769,11.14
1471413370,11.15
1471416971,11.12
1471420571,11.07
1471424172,11.03
1471427773,11.08
1471431374,11.09
1471434975,11.04
1471438576,11.04
1471442176,11.07
1471445777,11.01
1471449378,10.99
1471452980,10.98
1471456581,10.99
1471460181,10.98
1471463782,10.92
1471467383,10.91
1471470984,10.90
1471474584,10.77
1471478185,10.75
1471481786,10.76
1471485388,10.77
1471488989,10.76
1471492590,10.74
1471496191,10.75
1471499791,10.78
1471503392,10.86
1471506993,10.86
1471510594,10.87
1471514194,10.87
1471517795,10.91
1471521396,10.93
1471524997,10.94
1471528598,10.95
1471532198,10.92
1471535799,10.96
1471539400,10.94
1471543001,10.93
1471546602,10.92
1471550202,10.91
1471553803,10.89
1471557404,10.84
1471561005,10.84
1471564606,10.84
1471568210,10.79
1471571810,10.78
1471575411,10.75
1471579012,10.73
1471582613,10.74
1471586214,10.75
1471589814,10.75
1471593415,10.75
1471597016,10.75
1471600617,10.72
1471604218,10.74
1471607820,10.74
1471611421,10.74
1471615021,10.74
1471618622,10.73
1471622223,10.75
1471625824,10.77
1471629425,10.74
1471633026,10.75
1471636627,10.76
1471640227,10.76
1471643828,10.74
1471647429,10.73
1471651030,10.72
1471654631,10.72
1471658232,10.72
1471661833,10.72
1471665435,10.71
1471669035,10.74
1471672636,10.83
1471676237,10.94
1471679838,10.99
1471683439,11.00
1471687039,11.03
1471690641,11.05
1471694241,10.99
1471697842,10.99
1471701444,11.07
1471705044,11.09
1471708645,11.09
1471712246,11.09
1471715847,11.10
1471719448,11.17
1471723049,11.18
1471726650,11.27
1471730255,11.28
1471733856,11.22
1471737456,11.19
1471741057,11.21
1471744658,11.24
1471748259,11.27
1471751860,11.27
1471755462,11.24
1471759062,11.21
1471762663,11.20
1471766264,11.18
1471769866,11.14
1471773467,11.04
1471777067,11.02
1471780668,11.02
1471784269,11.04
1471787870,11.05
1471791471,11.04
1471795072,11.04
1471798672,11.07
1471802273,11.07
1471805874,11.06
1471809475,11.09
1471813076,11.10
1471816677,11.10
1471820277,11.10
1471823878,11.10
1471827479,11.12
1471831080,11.12
1471834681,11.12
1471838282,11.14
1471841883,11.20
1471845484,11.19
1471849085,11.20
1471852686,11.23
1471856287,11.20
1471859888,11.24
1471863489,11.22
1471867091,11.17
1471870691,11.21
